negative,@lisastarlynn I haven't heard anything. I'll tweet you as soon as I hear. I'm really worried actually
negative,Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day
positive,@poepiandzegiant oops just saw you said hello! Hi there
positive,@kirsty_gilfo yup! That's the one  Mmm....yum cha! Have lots of dumplings for me
positive,Mum's off to bed... Nip/tuck time noow
positive,"Have been LOL big time at this Apprentice video http://ping.fm/vXPnd (via @tdrury) - Thanks, me and @rebel_aceman laughed at it too!"
positive,"@sdawara ooooo.... even before @maheshmurthy started seedfund, the fund given in seed stage used to b called as seedfund.."
negative,is drinking lovely tea she bought in London in December: Yumchaa's &quot;Caramel Sweetheart&quot;. It's almost all gone...  http://www.yumchaa.com/
positive,"@Alphacat1 hehehe bless  you enjoy star trek, you should be sleeping it's late LOL bad kitty hehehe LoveYa"
negative,@ddlovato owr family own a jehtskii (: buht ihts winter over here so ihave too wait till summer  jetskis are so fun.
positive,"@MissSydneyJ Im good, lol... I feel awake"
positive,@D_AMAZIN Won't I get arrested if I am naked on the beach?lol
negative,@Chicago_Ted I just miss driving my car.  I haven't driven it since I got back yet.
negative,@logansutch You can go driving?! HOW?! WHY!
positive,Hi Haters...who talking bout my Elem school pic Chellelilbmore@UrbanInformer i love your new pic you were handsome back then and still is
negative,"On the way to camp at last. Think I might have offended someone at the meeting earlier, and it bugs me."
negative,i need sleep. Its too early. I went to bed at like 6 something because i couldnt sleep
positive,@BillohBill &quot;projectile&quot; very clever warpig
negative,Lunchtime walks in a bid to lose weight are most annoying when all the pubs one passes are throwing out delicious food smells
negative,I'm just trying to write CIL I can't think of anything ARGHHH
negative,"itunes says that an update is available (3.0), but then just does nothing when I press update"
positive,Yes my laptop works  So now i can abort my diplomthesis
positive,"@MrsPommeroy  TouchÃÂ©.  Steve Hewitt is far better, far cooler anyway. Placebo will lose their battle for the sun."
positive,Day light hours *shock* lol I love my new ear rings  http://tinyurl.com/loxv8x
negative,@zazzle not following my zazzle tweets?
positive,2nd period studyhall + remembered my ipod = music time!
positive,"@madierox Thanks hun, it's always nice to hear that  x"
positive,@nataliehitz No wonder la ratings high
positive,@unitechy yeah! it does! let me tweet u the link!
negative,"@KSwissInc they're half a size too small (tried them today) and i need them for a trip on monday, no one is answering at customer service"
positive,@judykyho ~ my dear judy ... take care ... ...
positive,@liamyoung morning
negative,"Still at work ..... working, it's going to be a long day"
negative,@batbuick .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..
negative,@LeanneBarbery Dam we where gonna go to Northgate but LIL G is full of cold  much to Molly's disgust just not worth it tho!
positive,"#hoppusday Mark, you should make a YouTube channel and film Blink-182 studio updates! We'd all appreciate that."
negative,"@carkeen Yes, ONE hour!"
positive,"@nevynxxx Let's hope they do, then we can ask them to turn it down   (I'm an old woman, it'll hurt my ageing ears)"
negative,there's this man in our roof.. like literally in our roof.. I wana go up and look nowwww
